"rx_id","precursor_smiles","product_smiles_main","product_smiles_all","is_multi_product","reactants_all","fragment_count","products_all","product_main_smiles","rxn_key","rxn_key_hash","sample_id","rxn_smiles_mapped","map_status","map_fail_reason","mapping_confidence","precursor_type","precursor_subtype","core_atom_map","core_bond_changes","core_extraction_status","core_fail_reason","new_ring_size","reaction_type","reaction_type_confidence","reaction_evidence","topology","topology_evidence","cyclo_mode","cyclo_mode_reason","yield","yield_individual","yield_overall","yield_source","yield_amount","yield_unit","is_censored","is_upper_bound","is_interval","reactivity_label","de","ee","dr_major","dr_minor","stereo_source","temp_celsius","temp_kelvin","temp_min_c","temp_max_c","temp_profile_raw","solvent","base","time_total_h","n_stages_time","has_lewis_acid","has_metal_catalyst","n_solvents","n_reagents","n_catalysts","solvents_str","reagents_str","catalysts_str","leaving_group","mass_balance_status","mass_balance_ok","yield_status","has_stereo","stereo_consistency","quality_flag","notes"
"11","C=C=CN1C(=O)OCC1CCc1ccco1","O=C1C[C@H]2C=C[C@]3(CC[C@H]4COC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(CC[C@H]4COC(=O)N4[C@H]13)O2","False","C=C=CN(C(OC1)=O)C1CCC2=CC=CO2","1","O=C1C[C@H]2C=C[C@]3(O2)[C@]1([H])N(C(OC4)=O)[C@@]4([H])CC3","O=C1C[C@H]2C=C[C@]3(CC[C@H]4COC(=O)N4[C@H]13)O2","C=C=CN1C(=O)OCC1CCc1ccco1>>O=C1C[C@H]2C=C[C@]3(CC[C@H]4COC(=O)N4[C@H]13)O2","9f14b897d926f8476d332ffa34ea11d71343d22cd87298949d3862b7d7556627","9f14b897d926f847__43e039","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH:10]1[CH2:11][O:12][C:13](=[O:14])[N:15]1[CH:16]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][CH2:9][C@H:10]4[CH2:11][O:12][C:13](=[O:14])[N:15]4[C@H:16]13)[O:17]2","OK","","0.8497182858722175","allenamide","general","{""1"": 1, ""15"": 15, ""16"": 16, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-16:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.75","0.75","","individual","0.75","fraction","False","False","False","REACTIVE","0.92","","96","4","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"12","C=C=CN1C(=O)OCC1CCc1ccco1","O=C1C[C@H]2C=C[C@]3(CC[C@H]4COC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(CC[C@H]4COC(=O)N4[C@H]13)O2","False","C=C=CN(C(OC1)=O)C1CCC2=CC=CO2","1","O=C1C[C@H]2C=C[C@]3(O2)[C@]1([H])N(C(OC4)=O)[C@@]4([H])CC3","O=C1C[C@H]2C=C[C@]3(CC[C@H]4COC(=O)N4[C@H]13)O2","C=C=CN1C(=O)OCC1CCc1ccco1>>O=C1C[C@H]2C=C[C@]3(CC[C@H]4COC(=O)N4[C@H]13)O2","9f14b897d926f8476d332ffa34ea11d71343d22cd87298949d3862b7d7556627","9f14b897d926f847__7f74a3","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH:10]1[CH2:11][O:12][C:13](=[O:14])[N:15]1[CH:16]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][CH2:9][C@H:10]4[CH2:11][O:12][C:13](=[O:14])[N:15]4[C@H:16]13)[O:17]2","OK","","0.8497182858722175","allenamide","general","{""1"": 1, ""15"": 15, ""16"": 16, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-16:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.3","0.3","","individual","0.3","fraction","False","False","False","REACTIVE","0.9","","95","5","text","-78","195.14999999999998","-78.0","-78.0","-78","CH2Cl2","DMDO","","0","False","False","1","1","1","CH2Cl2","DMDO","ZnCl2 (1-2 equiv)","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"13","C=C=CN1C(=O)OCC1CCCc1ccco1","O=C1C[C@H]2C=C[C@]3(CCC[C@H]4COC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(CCC[C@H]4COC(=O)N4[C@H]13)O2","False","C=C=CN(C(OC1)=O)C1CCCC2=CC=CO2","1","O=C(OC1)N([C@@]1([H])CCC2)[C@@]3([H])[C@@]2(O4)C=C[C@@H]4CC3=O","O=C1C[C@H]2C=C[C@]3(CCC[C@H]4COC(=O)N4[C@H]13)O2","C=C=CN1C(=O)OCC1CCCc1ccco1>>O=C1C[C@H]2C=C[C@]3(CCC[C@H]4COC(=O)N4[C@H]13)O2","471ad7ac43299d3494273c50bfe9c976535b870fda95c3993c726ed8955dc152","471ad7ac43299d34__6b9d10","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH2:10][CH:11]1[CH2:12][O:13][C:14](=[O:15])[N:16]1[CH:17]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][CH2:9][CH2:10][C@H:11]4[CH2:12][O:13][C:14](=[O:15])[N:16]4[C@H:17]13)[O:18]2","OK","","0.838014416606911","allenamide","general","{""1"": 1, ""16"": 16, ""17"": 17, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-17:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.3","0.3","","individual","0.3","fraction","False","False","False","REACTIVE","0.74","","87","13","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"14","C=C=CN1C(=O)OCC1CCCc1ccco1","O=C1C[C@H]2C=C[C@]3(CCC[C@H]4COC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(CCC[C@H]4COC(=O)N4[C@H]13)O2","False","C=C=CN(C(OC1)=O)C1CCCC2=CC=CO2","1","O=C(OC1)N([C@@]1([H])CCC2)[C@@]3([H])[C@@]2(O4)C=C[C@@H]4CC3=O","O=C1C[C@H]2C=C[C@]3(CCC[C@H]4COC(=O)N4[C@H]13)O2","C=C=CN1C(=O)OCC1CCCc1ccco1>>O=C1C[C@H]2C=C[C@]3(CCC[C@H]4COC(=O)N4[C@H]13)O2","471ad7ac43299d3494273c50bfe9c976535b870fda95c3993c726ed8955dc152","471ad7ac43299d34__a9f207","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH2:10][CH:11]1[CH2:12][O:13][C:14](=[O:15])[N:16]1[CH:17]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][CH2:9][CH2:10][C@H:11]4[CH2:12][O:13][C:14](=[O:15])[N:16]4[C@H:17]13)[O:18]2","OK","","0.838014416606911","allenamide","general","{""1"": 1, ""16"": 16, ""17"": 17, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-17:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.7","0.7","","individual","0.7","fraction","False","False","False","REACTIVE","0.66","","83","17","text","25","298.15","25.0","25.0","25","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"15","C=C=CN1C(=O)OCC1CCCCc1ccco1","O=C1C[C@H]2C=C[C@]3(CCCC[C@H]4COC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(CCCC[C@H]4COC(=O)N4[C@H]13)O2","False","C=C=CN(C(OC1)=O)C1CCCCC2=CC=CO2","1","O=C1C[C@H]2C=C[C@]3(O2)[C@]1([H])N(C(OC4)=O)[C@@]4([H])CCCC3","O=C1C[C@H]2C=C[C@]3(CCCC[C@H]4COC(=O)N4[C@H]13)O2","C=C=CN1C(=O)OCC1CCCCc1ccco1>>O=C1C[C@H]2C=C[C@]3(CCCC[C@H]4COC(=O)N4[C@H]13)O2","a06b619d5be8d5e683108fc545698cce5c2f9ea855da1fbc684cff060fdb10b4","a06b619d5be8d5e6__26a350","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH2:10][CH2:11][CH:12]1[CH2:13][O:14][C:15](=[O:16])[N:17]1[CH:18]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][CH2:9][CH2:10][CH2:11][C@H:12]4[CH2:13][O:14][C:15](=[O:16])[N:17]4[C@H:18]13)[O:19]2","LOW_CONFIDENCE","RXNMapper confidence 0.716 < 0.8, but sanity check passed","0.7157498520853787","allenamide","general","{""1"": 1, ""17"": 17, ""18"": 18, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-18:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.57","0.57","","individual","0.57","fraction","False","False","False","REACTIVE","0.4","","70","30","text","25","298.15","25.0","25.0","25","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"16","C=C=CN1C(=O)CCC1Cc1ccco1","O=C1C[C@H]2C=C[C@]3(C[C@H]4CCC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(C[C@H]4CCC(=O)N4[C@H]13)O2","False","C=C=CN1C(CCC1CC2=CC=CO2)=O","1","O=C1N2[C@](C[C@@](C=C[C@@H]3C4)(O3)[C@@]2([H])C4=O)([H])CC1","O=C1C[C@H]2C=C[C@]3(C[C@H]4CCC(=O)N4[C@H]13)O2","C=C=CN1C(=O)CCC1Cc1ccco1>>O=C1C[C@H]2C=C[C@]3(C[C@H]4CCC(=O)N4[C@H]13)O2","c0120081cd932758b23a2c7a0892b4ab63e94ed3973cfb2d8b891c3dc017e908","c0120081cd932758__c02c8b","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH:9]1[CH2:10][CH2:11][C:12](=[O:13])[N:14]1[CH:15]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][C@H:9]4[CH2:10][CH2:11][C:12](=[O:13])[N:14]4[C@H:15]13)[O:16]2","OK","","0.8147222635677458","allenamide","general","{""1"": 1, ""14"": 14, ""15"": 15, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-15:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.9","0.9","","individual","0.9","fraction","False","False","False","REACTIVE","0.74","","87","13","text","25","298.15","25.0","25.0","25","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"17","C=C=CN1C(=O)CCC1Cc1ccco1","O=C1C[C@H]2C=C[C@]3(C[C@H]4CCC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(C[C@H]4CCC(=O)N4[C@H]13)O2","False","C=C=CN1C(CCC1CC2=CC=CO2)=O","1","O=C1N2[C@](C[C@@](C=C[C@@H]3C4)(O3)[C@@]2([H])C4=O)([H])CC1","O=C1C[C@H]2C=C[C@]3(C[C@H]4CCC(=O)N4[C@H]13)O2","C=C=CN1C(=O)CCC1Cc1ccco1>>O=C1C[C@H]2C=C[C@]3(C[C@H]4CCC(=O)N4[C@H]13)O2","c0120081cd932758b23a2c7a0892b4ab63e94ed3973cfb2d8b891c3dc017e908","c0120081cd932758__1c5b8b","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH:9]1[CH2:10][CH2:11][C:12](=[O:13])[N:14]1[CH:15]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][C@H:9]4[CH2:10][CH2:11][C:12](=[O:13])[N:14]4[C@H:15]13)[O:16]2","OK","","0.8147222635677458","allenamide","general","{""1"": 1, ""14"": 14, ""15"": 15, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-15:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.85","0.85","","individual","0.85","fraction","False","False","False","REACTIVE","0.86","","93","7","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"18","C=C=CN1C(=O)CCC1CCCCc1ccco1","O=C1C[C@H]2C=C[C@]3(CCCC[C@H]4CCC(=O)N4[C@H]13)O2","O=C1C[C@H]2C=C[C@]3(CCCC[C@H]4CCC(=O)N4[C@H]13)O2","False","C=C=CN(C(CC1)=O)C1CCCCC2=CC=CO2","1","O=C1C[C@H]2C=C[C@]3(O2)[C@]1([H])N(C(CC4)=O)[C@@]4([H])CCCC3","O=C1C[C@H]2C=C[C@]3(CCCC[C@H]4CCC(=O)N4[C@H]13)O2","C=C=CN1C(=O)CCC1CCCCc1ccco1>>O=C1C[C@H]2C=C[C@]3(CCCC[C@H]4CCC(=O)N4[C@H]13)O2","cdb14b0aee895d3b9a3e78b0fd56c5251848585e6a8756f3baaec836c4abc6ce","cdb14b0aee895d3b__ffe29a","[o:1]1[cH:4][cH:5][cH:6][c:7]1[CH2:8][CH2:9][CH2:10][CH2:11][CH:12]1[CH2:13][CH2:14][C:15](=[O:16])[N:17]1[CH:18]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][C@H:4]2[CH:5]=[CH:6][C@:7]3([CH2:8][CH2:9][CH2:10][CH2:11][C@H:12]4[CH2:13][CH2:14][C:15](=[O:16])[N:17]4[C@H:18]13)[O:19]2","LOW_CONFIDENCE","RXNMapper confidence 0.768 < 0.8, but sanity check passed","0.7683150036160992","allenamide","general","{""1"": 1, ""17"": 17, ""18"": 18, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8}","3-4:formed;7-18:formed;1-4:broken;1-7:broken","OK","","7","4+3","HIGH","ring_size:7;allenamide_detected:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.4","0.4","","individual","0.4","fraction","False","False","False","REACTIVE","0.04","","52","48","text","25","298.15","25.0","25.0","25","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"19","C=C=CN1C(=O)CCC1C/C=C/C=C","O=C1CCC=C[C@H]2C[C@H]3CCC(=O)N3[C@H]12","O=C1CCC=C[C@H]2C[C@H]3CCC(=O)N3[C@H]12","False","C=C/C=C/CC1CCC(N1C=C=C)=O","1","O=C1N2[C@](C[C@@](C=CCC3)([H])[C@@]2([H])C3=O)([H])CC1","O=C1CCC=C[C@H]2C[C@H]3CCC(=O)N3[C@H]12","C=C=CN1C(=O)CCC1C/C=C/C=C>>O=C1CCC=C[C@H]2C[C@H]3CCC(=O)N3[C@H]12","2e59cf0bcb5afcf747229abac504951435f982b04134a9d6d2b1f1e09b32a46a","2e59cf0bcb5afcf7__9cd074","[O:1]=[C:12]1[CH2:11][CH2:10][CH:9]([CH2:8]/[CH:7]=[CH:6]/[CH:5]=[CH2:4])[N:14]1[CH:15]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]=[CH:6][C@H:7]2[CH2:8][C@H:9]3[CH2:10][CH2:11][C:12](=[O:13])[N:14]3[C@H:15]12","OK","","0.8108596013414195","allenamide","general","","","AMBIGUOUS","AMBIGUOUS_AFTER_EVAL","","4+3","LOW","allenamide_fallback:core_ambiguous_no_ring:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.76","0.76","","individual","0.76","fraction","False","False","False","REACTIVE","0.2","","60","40","text","25","298.15","25.0","25.0","25","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
"20","C=C=CN1C(=O)CCC1C/C=C/C=C","O=C1CCC=C[C@H]2C[C@H]3CCC(=O)N3[C@H]12","O=C1CCC=C[C@H]2C[C@H]3CCC(=O)N3[C@H]12","False","C=C/C=C/CC1CCC(N1C=C=C)=O","1","O=C1N2[C@](C[C@@](C=CCC3)([H])[C@@]2([H])C3=O)([H])CC1","O=C1CCC=C[C@H]2C[C@H]3CCC(=O)N3[C@H]12","C=C=CN1C(=O)CCC1C/C=C/C=C>>O=C1CCC=C[C@H]2C[C@H]3CCC(=O)N3[C@H]12","2e59cf0bcb5afcf747229abac504951435f982b04134a9d6d2b1f1e09b32a46a","2e59cf0bcb5afcf7__ade9f9","[O:1]=[C:12]1[CH2:11][CH2:10][CH:9]([CH2:8]/[CH:7]=[CH:6]/[CH:5]=[CH2:4])[N:14]1[CH:15]=[C:2]=[CH2:3]>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]=[CH:6][C@H:7]2[CH2:8][C@H:9]3[CH2:10][CH2:11][C:12](=[O:13])[N:14]3[C@H:15]12","OK","","0.8108596013414195","allenamide","general","","","AMBIGUOUS","AMBIGUOUS_AFTER_EVAL","","4+3","LOW","allenamide_fallback:core_ambiguous_no_ring:general;n_frags:1;topology_hint:INTRA","INTRA_TYPE_I","tether:saturated_chain","[4+3]","reaction_type:4+3","0.75","0.75","","individual","0.75","fraction","False","False","False","REACTIVE","0.24","","62","38","text","-45","228.14999999999998","-45.0","-45.0","-45","CH2Cl2","DMDO","","0","False","False","1","1","0","CH2Cl2","DMDO","","","NOT_EVALUABLE","False","OK","True","OK","GOOD",""
